n,group,injury,layer1-iba-count,layer1-iba-coverage,layer2-iba-count,layer2-iba-coverage
1,0,uninjured,95.12642094,3.178,58.33659698,1.634
2,0,uninjured,163.9441634,1.886,39.62523213,1.223
3,0,uninjured,94.55220951,0.575,42.12709378,2.23
4,0,uninjured,70.00882461,1.197,54.81210923,4.33
5,0,uninjured,62.26381999,7.651,69.8535238,1.405
6,0,uninjured,61.23425791,3.89,57.97850418,0.755
7,0,uninjured,66.28361586,3.802,40.6081104,1.475
8,0,uninjured,78.05845169,1.498,66.49631066,6.519
9,1,mild,77.98573859,21.521,72.00075884,10.618
10,1,mild,50.12744255,22.955,73.51551999,13.337
11,1,mild,139.6890368,33.389,141.6812343,12.102
12,1,mild,145.6257365,20.855,136.5407123,11.751
13,1,mild,106.4702683,12.715,141.1502635,10.781
14,1,mild,167.7749003,10.946,126.5463245,12.894
15,1,mild,72.14782425,16.287,126.75102,14.367
16,1,mild,121.0098326,19.376,154.375932,15.641
17,1,mild,101.4837158,14.11,119.9489005,10.735
18,1,mild,99.64626969,16.654,133.7810035,9.811
19,2,severe,113.0219567,22.685,88.59136318,11.936
20,2,severe,70.45174987,10.629,60.55410963,7.739
21,2,severe,142.6821478,14.844,155.550141,11.315
22,2,severe,131.5420269,17.489,198.3219115,12.714
23,2,severe,62.80002491,11.723,73.48133481,11.902
24,2,severe,85.73894423,13.282,67.9747693,11.327
25,2,severe,88.34967878,10.163,85.27203695,6.792
26,2,severe,68.03110712,9.913,67.3604391,6.686
26,2,severe,156.8500593,18.447,163.649557,8.948
26,2,severe,166.2787902,14.595,184.1385015,10.193
26,3,severe,64.82952622,12.193,64.9189471,3.604
26,3,severe,45.31377439,13.5,61.87022336,4.282
26,3,severe,47.00161301,27.831,45.52602083,5.586
26,3,severe,44.958601,32.335,57.8156761,4.743
26,3,severe,63.2647529,28.579,60.16186444,4.428
26,3,severe,86.00617487,28.301,66.89583515,5.466
26,3,severe,35.73920079,12.037,75.37848341,6.233
26,3,severe,67.03009327,12.813,54.77021529,4.107
26,4,severe,54.55269685,12.291,49.90853761,8.715
26,4,severe,55.01841565,11.794,67.6688242,6.149
26,4,severe,32.95593266,11.924,50.70498373,6.318
26,4,severe,42.16822578,10.935,51.66454982,7.292
26,4,severe,42.02029392,27.607,44.9373691,16.095
26,4,severe,36.82976716,28.954,34.8310402,14.365